 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 241 | Kiziltan, Bulent | University of California, Santa Cruz | 2010 | male | 3 | 1 | 2013 | 9 | 4 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 0 | 0 | 1 | 0 | 0 | 1 |
 242 | Parsons, Reid Allen | University of California, Santa Cruz | 2010 | male | 4 | 3 | 2016 | 4 | 3 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 |
 247 | Cady, Eric | Princeton University | 2010 | male | 3 | 4 | 2016 | 5 | 17 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 3 | 2 | 3 | 3 | 1 | 3 | 4 |
 249 | Saez, Cristian | The Pennsylvania State University | 2010 | male | 3 | 6 | 2016 | 4 | 18 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 2 | 3 | 6 | 4 |
 253 | Bogosavljević, Milan | California Institute of Technology | 2010 | male | 1 | 0 | 2010 | 8 | 7 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 5 | 2 | 1 | 0 | 1 | 0 | 3 |
 254 | Myers, Michael James | University of California, Berkeley | 2010 | male | 1 | 0 | 2010 | 1 | 9 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 3 | 3 | 0 |
 255 | Bussmann, Robert Shane | The University of Arizona | 2010 | male | 6 | 6 | 2015 | 10 | 33 | 2017 | 1 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 2 | 3 | 3 | 2 | 7 | 6 | 9 | 5 | 3 |
 257 | Busch, Michael W. | California Institute of Technology | 2010 | male | 12 | 1 | 2011 | 16 | 14 | 2017 | 0 | 2 | 3 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 5 | 2 | 3 | 4 | 0 | 2 | 1 | 4 | 1 |
 258 | Shapovalov, Dmitry | The Johns Hopkins University | 2010 | male | 1 | 1 | 2011 | 1 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 |
 259 | Sloan, David | The Pennsylvania State University | 2010 | male | 1 | 4 | 2016 | 7 | 12 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 2 | 3 | 2 | 2 | 0 | 2 | 4 | 0 | 4 |
 263 | Kaib, Nathan A. | University of Washington | 2010 | male | 4 | 9 | 2016 | 11 | 23 | 2017 | 0 | 0 | 0 | 1 | 2 | 1 | 3 | 0 | 1 | 1 | 2 | 2 | 1 | 1 | 1 | 2 | 3 | 3 | 3 | 0 | 4 | 2 | 4 | 7 |
 270 | Wissel, Stephanie Ann | The University of Chicago | 2010 | female | 3 | 1 | 2011 | 30 | 11 | 2016 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 9 | 13 | 8 | 6 | 0 | 0 | 1 | 0 | 4 |
 279 | Kramer, Roban Hultman | Columbia University | 2010 | male | 4 | 2 | 2016 | 5 | 4 | 2016 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 |
 302 | Driscoll, Peter E. | The Johns Hopkins University | 2010 | male | 3 | 7 | 2016 | 10 | 9 | 2016 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 3 | 0 | 4 | 2 | 2 | 1 | 1 | 2 | 1 | 2 |
 305 | Kostov, Valentin Angelov | The University of Chicago | 2010 | male | 2 | 0 | 2010 | 2 | 0 | 2010 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
 309 | Conroy, Charles F. | Princeton University | 2010 | male | 1 | 0 | 2010 | 3 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 |
 310 | Gorguinpour, Camron Saul | University of California, Berkeley | 2010 | male | 1 | 1 | 2012 | 1 | 1 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
 312 | Teitler, Seth A. | The University of Chicago | 2010 | male | 2 | 2 | 2014 | 2 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 0 |
 321 | Diniega, Serina | The University of Arizona | 2010 | female | 1 | 2 | 2013 | 2 | 6 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 2 | 0 |
 326 | Wells, Christopher M. | The Johns Hopkins University | 2010 | male | 1 | 0 | 2010 | 3 | 1 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 |
 328 | Grodnicki, Lauren R. | The University of Chicago | 2010 | female | 1 | 0 | 2010 | 1 | 0 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 330 | Fraisse, Aurelien Alexandre | Princeton University | 2010 | male | 3 | 1 | 2013 | 4 | 69 | 2017 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 9 | 12 | 44 |
 337 | Kimball, Amy E. | University of Washington | 2010 | female | 3 | 4 | 2015 | 13 | 21 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 2 | 2 | 6 | 4 | 3 | 2 | 3 | 4 | 4 |
 340 | Slater, Stephanie Jean | The University of Arizona | 2010 | female | 2 | 3 | 2014 | 2 | 5 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 |
 341 | Barnhart, Charles J. | University of California, Santa Cruz | 2010 | male | 3 | 1 | 2011 | 3 | 1 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
 344 | Pulupa, Marc Peter | University of California, Berkeley | 2010 | male | 3 | 4 | 2017 | 7 | 14 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 4 | 0 | 2 | 1 | 2 | 4 | 2 | 2 | 2 |
 351 | Haqq-Misra, Jacob | The Pennsylvania State University | 2010 | male | 4 | 7 | 2016 | 5 | 12 | 2017 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 3 | 0 | 1 | 1 | 4 |
 352 | Solontoi, Michael | University of Washington | 2010 | male | 2 | 2 | 2012 | 3 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 |
