n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
244 | Razzaque, Md. Soebur | UNIVERSITY OF KANSAS | 2002 | male | 1 | 0 | 2002 | 1 | 0 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
245 | Rabii, Bahman | UNIVERSITY OF CALIFORNIA, BERKELEY | 2002 | male | 1 | 1 | 2006 | 12 | 8 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 6 | 4 | 3 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
246 | Theoret, Claude G. | MCGILL UNIVERSITY (CANADA) | 2002 | male | 1 | 0 | 2002 | 8 | 33 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 4 | 3 | 1 | 3 | 17 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
247 | Vallisneri, Michele | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2002 | male | 2 | 11 | 2017 | 4 | 150 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 2 | 11 | 12 | 7 | 14 | 14 | 12 | 11 | 8 | 13 | 5 | 17 | 9 | 13 |
248 | Gao, Sijie | THE UNIVERSITY OF CHICAGO | 2002 | male | 3 | 13 | 2013 | 4 | 38 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 3 | 3 | 3 | 6 | 2 | 0 | 4 | 0 | 2 | 4 | 3 | 2 |
249 | Hardtke, Rellen Renee | THE UNIVERSITY OF WISCONSIN - MADISON | 2002 | None | 2 | 1 | 2003 | 14 | 39 | 2009 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 2 | 4 | 5 | 9 | 9 | 5 | 5 | 4 | 5 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
250 | Jessup, Kandis Lea | UNIVERSITY OF MICHIGAN | 2002 | female | 2 | 6 | 2015 | 3 | 12 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 4 | 0 |
251 | Chen, Christine Hsiao-Ching | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2002 | female | 1 | 5 | 2011 | 8 | 61 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 0 | 4 | 1 | 2 | 2 | 0 | 4 | 9 | 9 | 4 | 4 | 8 | 2 | 6 | 6 | 4 |
252 | Shirley, Yancy Leonard | The University of Texas at Austin | 2002 | male | 3 | 7 | 2015 | 5 | 70 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 3 | 2 | 5 | 2 | 4 | 5 | 5 | 7 | 9 | 2 | 6 | 5 | 9 | 3 |
253 | Caveny, Scott Andrew | The University of Texas at Austin | 2002 | male | 1 | 2 | 2003 | 1 | 3 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
